北京,#genre#
河北卫视,http://ipipip/udp/239.3.1.148:8072
河南卫视,http://ipipip/udp/239.3.1.50:8184
贵州卫视,http://ipipip/udp/239.3.1.149:8076
福建东南卫视,http://ipipip/udp/239.3.1.156:8148
重庆卫视,http://ipipip/udp/239.3.1.122:8160
江西卫视,http://ipipip/udp/239.3.1.123:8164
甘肃卫视,http://ipipip/udp/239.3.1.201:8180
四川卫视 SD,http://ipipip/udp/239.3.1.29:8288
海南卫视 SD,http://ipipip/udp/239.3.1.45:8304
内蒙古卫视 SD,http://ipipip/udp/239.3.1.43:8176
新疆卫视 SD,http://ipipip/udp/239.3.1.48:8160
陕西卫视 SD,http://ipipip/udp/239.3.1.41:8140
广西卫视 SD,http://ipipip/udp/239.3.1.39:8300
山西卫视 SD,http://ipipip/udp/239.3.1.42:8172
西藏卫视 SD,http://ipipip/udp/239.3.1.47:8164
青海卫视 SD,http://ipipip/udp/239.3.1.44:8184
宁夏卫视 SD,http://ipipip/udp/239.3.1.46:8124
云南卫视 SD,http://ipipip/udp/239.3.1.26:8108
兵团卫视 SD,http://ipipip/udp/239.3.1.144:4120
厦门卫视 SD,http://ipipip/udp/239.3.1.143:4120
三沙卫视 SD,http://ipipip/udp/239.3.1.155:4120

专业频道,#genre#
金鹰纪实,http://ipipip/udp/239.3.1.58:8156
快乐垂钓,http://ipipip/udp/239.3.1.164:8001
茶频道,http://ipipip/udp/239.3.1.165:8001
中国交通,http://ipipip/udp/239.3.1.188:8001
山东教育卫视 SD,http://ipipip/udp/239.3.1.52:4120
金鹰卡通 SD,http://ipipip/udp/239.3.1.51:9252
嘉佳卡通 SD,http://ipipip/udp/239.3.1.147:9268
财富天下 SD,http://ipipip/udp/239.3.1.53:9136
睛彩竞技,http://ipipip/udp/239.3.1.125:8001
睛彩篮球,http://ipipip/udp/239.3.1.126:8001
睛彩青少,http://ipipip/udp/239.3.1.127:8001
睛彩广场舞,http://ipipip/udp/239.3.1.128:8001

轮播频道,#genre#
4K超清,http://ipipip/udp/239.3.1.249:8001
爱上4K,http://ipipip/udp/239.3.1.236:2000
淘精彩,#http://ipipip/udp/239.3.1.178:8001
淘剧场,http://ipipip/udp/239.3.1.95:8001
淘电影,http://ipipip/udp/239.3.1.250:8001
淘娱乐,http://ipipip/udp/239.3.1.100:8001
淘Baby,http://ipipip/udp/239.3.1.238:8001
萌宠TV,http://ipipip/udp/239.3.1.102:8001
IPTV收视指南,http://ipipip/udp/239.3.1.193:8012
IPTV热播剧场,http://ipipip/udp/239.3.1.194:9020
IPTV经典电影,http://ipipip/udp/239.3.1.195:9024
IPTV魅力时尚,http://ipipip/udp/239.3.1.196:9012
IPTV少儿动画,http://ipipip/udp/239.3.1.199:9000
城市剧场,http://ipipip/udp/239.3.1.67:4120
军旅剧场,http://ipipip/udp/239.3.1.68:4120
古装剧场,http://ipipip/udp/239.3.1.69:4120
音乐现场,http://ipipip/udp/239.3.1.70:4120
地理,http://ipipip/udp/239.3.1.71:4120
美妆,http://ipipip/udp/239.3.1.72:4120
美人,http://ipipip/udp/239.3.1.73:4120
精选,http://ipipip/udp/239.3.1.74:4120
解密,http://ipipip/udp/239.3.1.75:4120
军事,http://ipipip/udp/239.3.1.76:4120
国学,http://ipipip/udp/239.3.1.77:4120
戏曲,http://ipipip/udp/239.3.1.78:4120
早教,http://ipipip/udp/239.3.1.79:4120
动画,http://ipipip/udp/239.3.1.80:4120
好学生,http://ipipip/udp/239.3.1.81:4120
鉴赏,http://ipipip/udp/239.3.1.82:4120
墨宝,http://ipipip/udp/239.3.1.83:4120
光影,http://ipipip/udp/239.3.1.84:4120
四大名著剧场,http://ipipip/udp/239.3.1.85:4120
爱生活,http://ipipip/udp/239.3.1.86:4120
武术,http://ipipip/udp/239.3.1.87:4120
古早影院,http://ipipip/udp/239.3.1.88:4120
足球,http://ipipip/udp/239.3.1.89:4120
武侠剧场,http://ipipip/udp/239.3.1.90:4120
喜剧影院,http://ipipip/udp/239.3.1.91:4120
动作影院,http://ipipip/udp/239.3.1.92:4120
家庭影院,http://ipipip/udp/239.3.1.93:4120
星影,http://ipipip/udp/239.3.1.94:4120

购物,#genre#
聚鲨环球精选1,http://ipipip/udp/239.3.1.160:8001
聚鲨环球精选2,http://ipipip/udp/239.3.1.179:8001
优购物1,http://ipipip/udp/239.3.1.180:8001
优购物2,http://ipipip/udp/239.3.1.190:8001
时尚购物1,http://ipipip/udp/239.3.1.181:8001
时尚购物2,http://ipipip/udp/239.3.1.191:8001
家有购物1,http://ipipip/udp/239.3.1.185:8001
家有购物2,http://ipipip/udp/239.3.1.186:8001
央广购物1,http://ipipip/udp/239.3.1.222:8001
央广购物2,http://ipipip/udp/239.3.1.223:8001
